name,x,y,transfer
node_0,168,527,False
node_1,493,584,False
node_2,534,299,True
node_3,466,75,True
node_4,360,263,False
node_5,674,433,False
node_6,607,587,False
node_7,725,47,False
node_8,831,287,False
node_9,730,404,False
node_10,124,628,False
node_11,805,679,True
node_12,195,102,False
node_13,772,938,False
node_14,875,51,False
node_15,359,550,False
node_16,545,570,False
node_17,892,255,False
node_18,323,325,False
node_19,88,708,True
node_20,302,454,True
node_21,351,211,True
node_22,121,31,False
node_23,450,592,False
node_24,564,238,False
node_25,972,50,False
node_26,132,730,False
node_27,319,207,False
node_28,561,807,True
node_29,942,648,True
