name_x,name_y,time
node_0,node_0,0
node_0,node_1,382
node_0,node_2,594
node_0,node_3,750
node_0,node_4,456
node_0,node_5,600
node_0,node_6,499
node_0,node_7,1037
node_0,node_8,903
node_0,node_9,685
node_0,node_10,145
node_0,node_11,789
node_0,node_12,452
node_0,node_13,1015
node_0,node_14,1183
node_0,node_15,214
node_0,node_16,420
node_0,node_17,996
node_0,node_18,357
node_0,node_19,261
node_0,node_20,207
node_0,node_21,499
node_0,node_22,543
node_0,node_23,347
node_0,node_24,685
node_0,node_25,1281
node_0,node_26,239
node_0,node_27,471
node_0,node_28,673
node_0,node_29,895
node_0,node_30,300
node_0,node_31,594
node_0,node_32,611
node_0,node_33,456
node_0,node_34,624
node_0,node_35,613
node_0,node_36,775
node_0,node_37,875
node_0,node_38,435
node_0,node_39,387
node_1,node_0,382
node_1,node_1,0
node_1,node_2,326
node_1,node_3,536
node_1,node_4,454
node_1,node_5,332
node_1,node_6,117
node_1,node_7,769
node_1,node_8,635
node_1,node_9,417
node_1,node_10,413
node_1,node_11,407
node_1,node_12,780
node_1,node_13,633
node_1,node_14,915
node_1,node_15,168
node_1,node_16,66
node_1,node_17,728
node_1,node_18,429
node_1,node_19,529
node_1,node_20,321
node_1,node_21,515
node_1,node_22,925
node_1,node_23,51
node_1,node_24,417
node_1,node_25,1013
node_1,node_26,507
node_1,node_27,551
node_1,node_28,291
node_1,node_29,513
node_1,node_30,150
node_1,node_31,326
node_1,node_32,343
node_1,node_33,276
node_1,node_34,426
node_1,node_35,345
node_1,node_36,393
node_1,node_37,493
node_1,node_38,307
node_1,node_39,157
node_2,node_0,594
node_2,node_1,326
node_2,node_2,0
node_2,node_3,292
node_2,node_4,210
node_2,node_5,274
node_2,node_6,361
node_2,node_7,443
node_2,node_8,309
node_2,node_9,301
node_2,node_10,739
node_2,node_11,651
node_2,node_12,536
node_2,node_13,877
node_2,node_14,589
node_2,node_15,426
node_2,node_16,282
node_2,node_17,402
node_2,node_18,237
node_2,node_19,855
node_2,node_20,387
node_2,node_21,271
node_2,node_22,681
node_2,node_23,377
node_2,node_24,91
node_2,node_25,687
node_2,node_26,833
node_2,node_27,307
node_2,node_28,535
node_2,node_29,757
node_2,node_30,294
node_2,node_31,56
node_2,node_32,405
node_2,node_33,602
node_2,node_34,752
node_2,node_35,433
node_2,node_36,637
node_2,node_37,737
node_2,node_38,633
node_2,node_39,207
node_3,node_0,750
node_3,node_1,536
node_3,node_2,292
node_3,node_3,0
node_3,node_4,294
node_3,node_5,566
node_3,node_6,653
node_3,node_7,287
node_3,node_8,577
node_3,node_9,593
node_3,node_10,895
node_3,node_11,943
node_3,node_12,298
node_3,node_13,1169
node_3,node_14,433
node_3,node_15,582
node_3,node_16,574
node_3,node_17,606
node_3,node_18,393
node_3,node_19,1011
node_3,node_20,543
node_3,node_21,251
node_3,node_22,389
node_3,node_23,533
node_3,node_24,261
node_3,node_25,531
node_3,node_26,989
node_3,node_27,279
node_3,node_28,827
node_3,node_29,1049
node_3,node_30,450
node_3,node_31,236
node_3,node_32,697
node_3,node_33,758
node_3,node_34,908
node_3,node_35,725
node_3,node_36,929
node_3,node_37,1029
node_3,node_38,789
node_3,node_39,379
node_4,node_0,456
node_4,node_1,454
node_4,node_2,210
node_4,node_3,294
node_4,node_4,0
node_4,node_5,484
node_4,node_6,571
node_4,node_7,581
node_4,node_8,495
node_4,node_9,511
node_4,node_10,601
node_4,node_11,861
node_4,node_12,326
node_4,node_13,1087
node_4,node_14,727
node_4,node_15,288
node_4,node_16,492
node_4,node_17,540
node_4,node_18,99
node_4,node_19,717
node_4,node_20,249
node_4,node_21,61
node_4,node_22,471
node_4,node_23,419
node_4,node_24,229
node_4,node_25,825
node_4,node_26,695
node_4,node_27,97
node_4,node_28,745
node_4,node_29,967
node_4,node_30,304
node_4,node_31,154
node_4,node_32,615
node_4,node_33,528
node_4,node_34,696
node_4,node_35,643
node_4,node_36,847
node_4,node_37,947
node_4,node_38,507
node_4,node_39,297
node_5,node_0,600
node_5,node_1,332
node_5,node_2,274
node_5,node_3,566
node_5,node_4,484
node_5,node_5,0
node_5,node_6,221
node_5,node_7,437
node_5,node_8,303
node_5,node_9,85
node_5,node_10,745
node_5,node_11,377
node_5,node_12,810
node_5,node_13,603
node_5,node_14,583
node_5,node_15,432
node_5,node_16,266
node_5,node_17,396
node_5,node_18,459
node_5,node_19,861
node_5,node_20,393
node_5,node_21,545
node_5,node_22,955
node_5,node_23,383
node_5,node_24,305
node_5,node_25,681
node_5,node_26,839
node_5,node_27,581
node_5,node_28,487
node_5,node_29,483
node_5,node_30,300
node_5,node_31,330
node_5,node_32,131
node_5,node_33,608
node_5,node_34,758
node_5,node_35,159
node_5,node_36,363
node_5,node_37,463
node_5,node_38,639
node_5,node_39,213
node_6,node_0,499
node_6,node_1,117
node_6,node_2,361
node_6,node_3,653
node_6,node_4,571
node_6,node_5,221
node_6,node_6,0
node_6,node_7,658
node_6,node_8,524
node_6,node_9,306
node_6,node_10,524
node_6,node_11,290
node_6,node_12,897
node_6,node_13,516
node_6,node_14,804
node_6,node_15,285
node_6,node_16,79
node_6,node_17,617
node_6,node_18,546
node_6,node_19,640
node_6,node_20,438
node_6,node_21,632
node_6,node_22,1042
node_6,node_23,162
node_6,node_24,392
node_6,node_25,902
node_6,node_26,618
node_6,node_27,668
node_6,node_28,266
node_6,node_29,396
node_6,node_30,267
node_6,node_31,417
node_6,node_32,232
node_6,node_33,387
node_6,node_34,537
node_6,node_35,234
node_6,node_36,280
node_6,node_37,376
node_6,node_38,418
node_6,node_39,274
node_7,node_0,1037
node_7,node_1,769
node_7,node_2,443
node_7,node_3,287
node_7,node_4,581
node_7,node_5,437
node_7,node_6,658
node_7,node_7,0
node_7,node_8,346
node_7,node_9,362
node_7,node_10,1182
node_7,node_11,712
node_7,node_12,585
node_7,node_13,938
node_7,node_14,154
node_7,node_15,869
node_7,node_16,703
node_7,node_17,375
node_7,node_18,680
node_7,node_19,1298
node_7,node_20,830
node_7,node_21,538
node_7,node_22,620
node_7,node_23,820
node_7,node_24,352
node_7,node_25,250
node_7,node_26,1276
node_7,node_27,566
node_7,node_28,924
node_7,node_29,818
node_7,node_30,737
node_7,node_31,443
node_7,node_32,466
node_7,node_33,1045
node_7,node_34,1195
node_7,node_35,494
node_7,node_36,698
node_7,node_37,854
node_7,node_38,1076
node_7,node_39,650
node_8,node_0,903
node_8,node_1,635
node_8,node_2,309
node_8,node_3,577
node_8,node_4,495
node_8,node_5,303
node_8,node_6,524
node_8,node_7,346
node_8,node_8,0
node_8,node_9,218
node_8,node_10,1048
node_8,node_11,418
node_8,node_12,821
node_8,node_13,710
node_8,node_14,280
node_8,node_15,735
node_8,node_16,569
node_8,node_17,93
node_8,node_18,546
node_8,node_19,1164
node_8,node_20,696
node_8,node_21,556
node_8,node_22,966
node_8,node_23,686
node_8,node_24,316
node_8,node_25,378
node_8,node_26,1142
node_8,node_27,592
node_8,node_28,790
node_8,node_29,472
node_8,node_30,603
node_8,node_31,341
node_8,node_32,292
node_8,node_33,911
node_8,node_34,1061
node_8,node_35,290
node_8,node_36,352
node_8,node_37,720
node_8,node_38,942
node_8,node_39,516
node_9,node_0,685
node_9,node_1,417
node_9,node_2,301
node_9,node_3,593
node_9,node_4,511
node_9,node_5,85
node_9,node_6,306
node_9,node_7,362
node_9,node_8,218
node_9,node_9,0
node_9,node_10,830
node_9,node_11,350
node_9,node_12,837
node_9,node_13,576
node_9,node_14,498
node_9,node_15,517
node_9,node_16,351
node_9,node_17,311
node_9,node_18,486
node_9,node_19,946
node_9,node_20,478
node_9,node_21,572
node_9,node_22,982
node_9,node_23,468
node_9,node_24,332
node_9,node_25,596
node_9,node_26,924
node_9,node_27,608
node_9,node_28,572
node_9,node_29,456
node_9,node_30,385
node_9,node_31,357
node_9,node_32,104
node_9,node_33,693
node_9,node_34,843
node_9,node_35,132
node_9,node_36,336
node_9,node_37,502
node_9,node_38,724
node_9,node_39,298
node_10,node_0,145
node_10,node_1,413
node_10,node_2,739
node_10,node_3,895
node_10,node_4,601
node_10,node_5,745
node_10,node_6,524
node_10,node_7,1182
node_10,node_8,1048
node_10,node_9,830
node_10,node_10,0
node_10,node_11,732
node_10,node_12,597
node_10,node_13,958
node_10,node_14,1328
node_10,node_15,313
node_10,node_16,479
node_10,node_17,1141
node_10,node_18,502
node_10,node_19,116
node_10,node_20,352
node_10,node_21,644
node_10,node_22,600
node_10,node_23,362
node_10,node_24,830
node_10,node_25,1426
node_10,node_26,110
node_10,node_27,616
node_10,node_28,616
node_10,node_29,838
node_10,node_30,445
node_10,node_31,739
node_10,node_32,756
node_10,node_33,399
node_10,node_34,567
node_10,node_35,758
node_10,node_36,804
node_10,node_37,818
node_10,node_38,378
node_10,node_39,532
node_11,node_0,789
node_11,node_1,407
node_11,node_2,651
node_11,node_3,943
node_11,node_4,861
node_11,node_5,377
node_11,node_6,290
node_11,node_7,712
node_11,node_8,418
node_11,node_9,350
node_11,node_10,732
node_11,node_11,0
node_11,node_12,1187
node_11,node_13,292
node_11,node_14,698
node_11,node_15,575
node_11,node_16,369
node_11,node_17,511
node_11,node_18,836
node_11,node_19,746
node_11,node_20,728
node_11,node_21,922
node_11,node_22,1332
node_11,node_23,442
node_11,node_24,682
node_11,node_25,796
node_11,node_26,724
node_11,node_27,958
node_11,node_28,372
node_11,node_29,168
node_11,node_30,557
node_11,node_31,707
node_11,node_32,246
node_11,node_33,493
node_11,node_34,643
node_11,node_35,218
node_11,node_36,174
node_11,node_37,302
node_11,node_38,524
node_11,node_39,564
node_12,node_0,452
node_12,node_1,780
node_12,node_2,536
node_12,node_3,298
node_12,node_4,326
node_12,node_5,810
node_12,node_6,897
node_12,node_7,585
node_12,node_8,821
node_12,node_9,837
node_12,node_10,597
node_12,node_11,1187
node_12,node_12,0
node_12,node_13,1413
node_12,node_14,731
node_12,node_15,612
node_12,node_16,818
node_12,node_17,850
node_12,node_18,351
node_12,node_19,713
node_12,node_20,459
node_12,node_21,265
node_12,node_22,145
node_12,node_23,745
node_12,node_24,505
node_12,node_25,829
node_12,node_26,691
node_12,node_27,229
node_12,node_28,1071
node_12,node_29,1293
node_12,node_30,630
node_12,node_31,480
node_12,node_32,941
node_12,node_33,854
node_12,node_34,1022
node_12,node_35,969
node_12,node_36,1173
node_12,node_37,1273
node_12,node_38,833
node_12,node_39,623
node_13,node_0,1015
