id,origin,destination,start_time,end_time,quantity
0,node_0,node_1,0,2500,16
1,node_0,node_5,0,2500,29
2,node_1,node_2,0,2500,31
3,node_1,node_3,0,2500,28
4,node_1,node_4,0,2500,24
5,node_1,node_6,0,2500,40
6,node_2,node_0,0,2500,24
7,node_2,node_3,0,2500,29
8,node_2,node_4,0,2500,47
9,node_2,node_5,0,2500,34
10,node_2,node_6,0,2500,22
11,node_3,node_0,0,2500,16
12,node_3,node_5,0,2500,27
13,node_4,node_5,0,2500,28
14,node_4,node_6,0,2500,42
15,node_5,node_1,0,2500,35
16,node_5,node_3,0,2500,28
17,node_5,node_4,0,2500,32
18,node_5,node_6,0,2500,46
19,node_6,node_0,0,2500,28
20,node_6,node_1,0,2500,33
21,node_6,node_2,0,2500,28
22,node_6,node_5,0,2500,41
