name_x,name_y,time
node_0,node_0,0
node_0,node_1,382
node_0,node_2,594
node_0,node_3,750
node_0,node_4,456
node_0,node_5,600
node_1,node_0,382
node_1,node_1,0
node_1,node_2,326
node_1,node_3,536
node_1,node_4,454
node_1,node_5,332
node_2,node_0,594
node_2,node_1,326
node_2,node_2,0
node_2,node_3,292
node_2,node_4,210
node_2,node_5,274
node_3,node_0,750
node_3,node_1,536
node_3,node_2,292
node_3,node_3,0
node_3,node_4,294
node_3,node_5,566
node_4,node_0,456
node_4,node_1,454
node_4,node_2,210
node_4,node_3,294
node_4,node_4,0
node_4,node_5,484
node_5,node_0,600
node_5,node_1,332
node_5,node_2,274
node_5,node_3,566
node_5,node_4,484
node_5,node_5,0
